aircraft	accidents
Airbus_A300	32	1436
Airbus_A310	8	700
Airbus_A320	20	636
Airbus_A321	2	152
Airbus_A330	6	338
Airbus_A340	4	0
ATR_42/72	33	416
Boeing_737	136	4186
Boeing_737_Next_Gen	13	527
Boeing_747	46	3709
Boeing_757	8	572
Boeing_767	12	851
Boeing_777	3	3
BAe_146/Avro_RJ	12	227
Beech_1900D	1	19
Canadair_Regional_Jet	10	162
McDonnell_Douglas_DC-10	19	509
Dash_8	4	77
Embraer_120_Brasilia	4	48
Embraer_135/145	6	22
Embraer_190/195	3	75
Fokker_70/100	7	179
Fokker_50	2	7
Lockheed_L-1011_TriStar	6	233
McDonnell_Douglas_MD-11	9	237
McDonnell_Douglas_MD-80/90	23	1150
Saab_340	2	0
Concorde	1	109
Sukhoi_SuperJet_100	1	45
