timestamp,mallcode,type,volume,male,female,weight-child,child,weight-student,student,adult,total
2014-06-17T19:52:50.074,IMM,2,25,24,1,4,1,56,14,10,25
2014-06-17T19:45:25.076,WESTGATE,0,26,10,16,19,5,49,13,8,26
2014-06-17T19:44:28.998,WESTGATE,1,27,3,24,10,3,30,8,16,27
2014-06-17T19:40:45.348,JEM,0,6,1,5,22,1,14,1,4,6
2014-06-17T19:39:16.665,JCUBE,1,6,2,4,2,0,24,1,4,6
2014-06-17T19:36:38.068,JEM,1,5,2,3,10,1,19,1,4,5
2014-06-17T19:18:45.724,IMM,1,40,19,21,29,12,49,19,9,40
2014-06-17T19:16:55.737,WESTGATE,2,6,0,6,2,0,26,1,4,6
2014-06-17T19:15:05.884,IMM,0,43,18,25,37,16,30,13,14,43
2014-06-17T19:09:38.454,JCUBE,1,8,2,6,27,2,35,3,3,8
2014-06-17T19:05:55.324,JEM,1,19,6,13,1,0,23,4,15,19
2014-06-17T19:03:45.107,JCUBE,2,7,1,6,32,2,7,1,5,7
2014-06-17T18:59:05.698,IMM,2,5,0,5,24,1,50,3,1,5
2014-06-17T18:54:06.179,WESTGATE,2,5,5,0,4,0,55,3,2,5
2014-06-17T18:52:31.189,WESTGATE,2,14,11,3,3,0,9,1,12,14
2014-06-17T18:33:30.502,JEM,2,7,2,5,15,1,46,3,3,7
2014-06-17T18:29:58.478,JCUBE,2,14,2,12,12,2,15,2,11,14
2014-06-17T18:20:20.85,JEM,1,5,5,0,25,1,37,2,2,5
2014-06-17T18:13:16.722,IMM,2,13,0,13,36,5,36,5,4,13
2014-06-17T18:11:36.541,JEM,1,5,0,5,22,1,5,0,4,5
2014-06-17T18:06:20.225,WESTGATE,2,5,1,4,5,0,36,2,3,5
2014-06-17T18:04:26.377,WESTGATE,2,5,5,0,15,1,56,3,1,5
2014-06-17T17:54:42.529,JCUBE,1,5,4,1,39,2,6,0,3,5
2014-06-17T17:52:15.396,JCUBE,1,12,7,5,10,1,29,3,7,12
2014-06-17T17:44:41.781,JEM,1,152,118,34,28,42,32,49,61,152
2014-06-17T17:43:49.65,JEM,0,5,2,3,28,1,2,0,4,5
2014-06-17T17:41:50.093,IMM,1,207,166,41,17,35,9,19,153,207
2014-06-17T17:39:34.524,WESTGATE,0,13,2,11,27,3,21,3,7,13
2014-06-17T17:32:49.654,JCUBE,1,7,5,2,3,0,26,2,5,7
2014-06-17T17:29:57.879,IMM,2,52,39,13,22,11,18,9,31,52
2014-06-17T17:28:50.797,IMM,0,24,12,12,6,1,0,0,22,24
2014-06-17T17:24:00.363,JCUBE,0,8,2,6,1,0,6,0,7,8
2014-06-17T17:15:13.251,JEM,1,10,7,3,2,0,39,4,6,10
2014-06-17T17:13:12.025,JCUBE,1,8,5,3,3,0,10,1,7,8
2014-06-17T17:10:58.616,JCUBE,2,13,9,4,26,3,51,7,3,13
2014-06-17T17:03:42.909,WESTGATE,2,5,2,3,21,1,57,3,1,5
2014-06-17T17:02:39.761,IMM,0,12,4,8,35,4,50,6,2,12
2014-06-17T16:53:49.994,IMM,1,5,5,0,30,2,35,2,2,5
2014-06-17T16:52:35.997,JCUBE,1,5,0,5,21,1,44,2,2,5
2014-06-17T16:48:36.28,IMM,2,11,3,8,17,2,18,2,7,11
2014-06-17T16:42:52.635,JCUBE,2,42,5,37,1,0,9,4,38,42
2014-06-17T16:38:08.702,WESTGATE,0,5,1,4,31,2,42,2,1,5
2014-06-17T16:32:22.853,WESTGATE,0,5,0,5,37,2,0,0,3,5
2014-06-17T16:27:09.459,JEM,1,8,8,0,32,3,3,0,5,8
