Survived,Sex,Age,Pclass
0,male,22,3
1,female,38,1
1,female,26,3
1,female,35,1
0,male,35,3
0,male,0,3
0,male,54,1
0,male,2,3
1,female,27,3
1,female,14,2
1,female,4,3
1,female,58,1
0,male,20,3
0,male,39,3
0,female,14,3
1,female,55,2
0,male,2,3
1,male,0,2
0,female,31,3
1,female,0,3
0,male,35,2
1,male,34,2
1,female,15,3
1,male,28,1
0,female,8,3
1,female,38,3
0,male,0,3
0,male,19,1
1,female,0,3
0,male,0,3
0,male,40,1
1,female,1,1
1,female,0,3
0,male,66,2
0,male,28,1
0,male,42,1
1,male,0,3
0,male,21,3
0,female,18,3
1,female,14,3
0,female,40,3
0,female,27,2
0,male,0,3
1,female,3,2
1,female,19,3
0,male,0,3
0,male,1,3
1,female,0,3
0,male,2,3
0,female,18,3
0,male,7,3
0,male,21,3
1,female,49,1
1,female,29,2
0,male,65,1
1,male,0,1
1,female,21,2
0,male,28.5,3
1,female,5,2
0,male,11,3
0,male,22,3
1,female,38,1
0,male,45,1
0,male,4,3
0,male,0,1
1,male,1,3
1,female,29,2
0,male,19,3
1,female,17,3
0,male,26,3
0,male,32,2
0,female,16,3
0,male,21,2
0,male,26,3
1,male,32,3
0,male,25,3
0,male,0,3
0,male,0,3
1,male,0.83,2
1,female,30,3
0,male,22,3
1,male,29,3
1,female,0,3
0,male,28,1
1,female,17,2
1,female,33,3
0,male,16,3
0,male,0,3
1,female,23,1
0,male,24,3
0,male,29,3
0,male,20,3
0,male,46,1
0,male,26,3
0,male,59,3
0,male,0,3
0,male,71,1
1,male,23,1
1,female,34,2
0,male,34,2
0,female,28,3
0,male,0,3
0,male,21,1
0,male,33,3
0,male,37,3
0,male,28,3
1,female,21,3
1,male,0,3
0,male,38,3
1,female,1,3
0,male,47,1
0,female,14.5,3
0,male,22,3
0,female,20,3
0,female,17,3
0,male,21,3
0,male,70.5,3
0,male,29,2
0,male,24,1
0,female,2,3
0,male,21,2
0,male,0,3
0,male,32.5,2
1,female,32.5,2
0,male,54,1
1,male,12,3
0,male,0,3
1,male,24,3
1,female,1,3
0,male,45,3
0,male,33,3
0,male,20,3
0,female,47,3
1,female,29,2
0,male,25,2
0,male,23,2
1,female,19,1
0,male,37,1
0,male,16,3
0,male,24,1
0,female,0,3
1,female,22,3
1,female,24,3
0,male,19,3
0,male,18,2
0,male,19,2
1,male,27,3
0,female,9,3
0,male,36.5,2
0,male,42,2
0,male,51,2
1,female,22,1
0,male,55.5,3
0,male,40.5,3
0,male,0,3
0,male,51,1
1,female,16,3
0,male,30,3
0,male,0,3
0,male,8,3
0,male,44,3
1,female,40,2
0,male,26,3
0,male,17,3
0,male,1,3
1,male,9,3
1,female,0,1
0,female,45,3
0,male,0,1
0,male,28,3
0,male,61,1
0,male,4,3
1,female,1,3
0,male,21,3
0,male,56,1
0,male,18,3
0,male,3,3
0,female,50,1
0,male,30,2
0,male,36,3
0,female,8,3
0,male,0,2
0,male,9,3
1,male,1,2
1,female,4,3
0,male,0,1
1,female,1,3
1,male,45,1
0,male,40,3
0,male,36,3
1,female,32,2
0,male,19,2
1,female,19,3
1,male,3,2
1,female,44,1
1,female,58,1
0,male,0,3
0,male,42,3
1,female,0,3
0,female,24,2
0,male,28,3
0,male,8,3
0,male,34,3
0,male,45.5,3
1,male,18,3
0,female,2,3
0,male,32,3
1,male,26,3
1,female,16,3
1,male,40,1
0,male,24,3
1,female,35,2
0,male,22,3
0,male,30,2
0,male,1,3
1,female,31,1
1,female,27,3
0,male,42,2
1,female,32,1
0,male,30,2
1,male,16,3
0,male,27,2
0,male,51,3
0,male,0,3
1,male,38,1
0,male,22,3
1,male,19,2
0,male,20.5,3
0,male,18,2
0,female,3,3
1,female,35,1
0,male,29,3
0,male,59,2
1,female,5,3
0,male,24,2
0,female,0,3
0,male,44,2
1,female,8,2
0,male,19,2
0,male,33,2
0,female,1,3
1,female,1,3
0,male,29,2
0,male,22,3
0,male,30,3
0,male,44,1
0,female,25,3
1,female,24,2
1,male,37,1
0,male,54,2
0,male,0,3
0,female,29,3
0,male,62,1
0,male,30,3
0,female,41,3
1,female,29,3
