number,date,name,status,category,wind,lat,lon
1,2013-12-03,Thirty_Thr,Tropical Depression,0,30,15.7,138.7
2,2013-11-14,Podul,Tropical Depression,0,25,11.8,111.6
3,2013-11-04,Thirty,Tropical Storm,0,35,9.8,123.1
4,2013-11-03,Haiyan,Super Typhoon,5,170,10.6,127
5,2013-10-29,Krosa,Typhoon,3,100,19.5,116.4
6,2013-10-20,Lekima,Super Typhoon,5,140,18,153.9
7,2013-10-16,Francisco,Super Typhoon,5,140,16.7,139.7
8,2013-10-10,Wipha,Typhoon,4,115,19.8,136.4
9,2013-10-09,Nari,Typhoon,3,105,15.3,122.5
10,2013-10-03,Danas,Super Typhoon,4,125,26.6,128.7
11,2013-10-01,Fitow,Typhoon,2,90,24.4,127.6
12,2013-09-30,Sepat,Tropical Storm,0,35,30.2,141.5
13,2013-09-26,Wutip,Typhoon,2,90,16.7,112.4
14,2013-09-21,Pabuk,Typhoon,2,90,28.5,138.6
15,2013-09-18,Eighteen,Tropical Depression,0,25,16.5,110.4
16,2013-09-16,Usagi,Super Typhoon,5,140,18.2,127.3
17,2013-09-12,Man_Yi,Tropical Storm,0,60,31.6,135.1
18,2013-09-01,Toraji,Tropical Storm,0,50,29.1,127.6
19,2013-08-26,Kong_Rey,Tropical Storm,0,55,23.7,122.6
20,2013-08-19,Unala,Tropical Storm,0,35,17,-177.8
21,2013-08-18,Pewa,Typhoon,1,65,13.9,177.9
22,2013-08-17,Trami,Typhoon,1,75,25.6,119.6
23,2013-08-16,Thirteen,Tropical Depression,0,25,27,130.2
24,2013-08-08,Utor,Super Typhoon,4,130,15.4,123.8
25,2013-08-05,Mangkhut,Tropical Storm,0,40,18.9,107.4
26,2013-07-31,Jebi,Tropical Storm,0,60,18.8,111.7
27,2013-07-15,Cimaron,Tropical Storm,0,40,21.5,118.1
28,2013-07-07,Soulik,Super Typhoon,4,125,21.1,135.8
29,2013-06-28,Rumbia,Typhoon,1,65,19.2,112.5
30,2013-06-20,Bebinca,Tropical Storm,0,35,18.7,115.5
31,2013-06-17,Leepi,Tropical Storm,0,35,18.4,126.3
32,2013-06-08,Yagi,Tropical Storm,0,55,27.6,136.2
33,2013-02-19,Two,Tropical Depression,0,25,5.2,126.1
34,2013-01-03,Sonamu,Tropical Storm,0,45,7.6,110.7
