state,value
Alabama,113.28480274
Alaska,35.26252508
Arizona,63.37851550
Arkansas,49.65043881
California,347.74284607
Colorado,66.69920784
Connecticut,39.00332379
Delaware,17.04528830
District of Columbia,4.39070774
Florida,189.08124423
Georgia,130.34231889
Hawaii,19.70189383
Idaho,11.97052247
Illinois,190.50199007
Indiana,200.30500845
Iowa,61.52059611
Kansas,68.13653307
Kentucky,118.43546132
Louisiana,206.85846783
Maine,18.58099709
Maryland,68.84629516
Massachusetts,81.33446149
Michigan,177.53072854
Minnesota,78.61445564
Mississippi,48.35320328
Missouri,101.65491408
Montana,28.81773610
Nebraska,33.39607717
Nevada,32.45563668
New Hampshire,14.29966549
New Jersey,108.16378585
New Mexico,49.13108102
New York,197.44179858
North Carolina,108.08267766
North Dakota,45.33211725
Ohio,243.09125749
Oklahoma,89.52590613
Oregon,34.36581684
Pennsylvania,255.41588739
Rhode Island,10.70531436
South Carolina,61.12695735
South Dakota,11.45874413
Tennessee,99.09948533
Texas,606.61910542
Utah,53.11980938
Vermont,5.66142461
Virginia,95.76103987
Washington,71.29695234
West Virginia,95.13050881
Wisconsin,87.47135831
Wyoming,55.03113147
